county,state,count,,
29,22,252,,
59,22,264,,
59,22,264,,
111,22,268,,
111,22,268,,
37,22,292,,
37,22,292,,
13,22,336,,
13,22,336,,
85,22,352,,
85,22,352,,
83,22,368,,
83,22,368,,
77,22,400,,
77,22,400,,
53,22,404,,
53,22,404,,
115,22,420,,
115,22,420,,
11,22,432,,
11,22,432,,
121,22,440,,
27,22,440,,
121,22,440,,
27,22,440,,
69,22,456,,
69,22,456,,
31,22,460,,
31,22,460,,
75,22,468,,
75,22,468,,
3,22,476,,
3,22,476,,
127,22,516,,
127,22,516,,
95,22,556,,
95,22,556,,
89,22,616,,
89,22,616,,
47,22,728,,
47,22,728,,
7,22,784,,
7,22,784,,
43,22,808,,
43,22,808,,
113,22,824,,
113,22,824,,
61,22,884,,
61,22,884,,
9,22,1008,,
9,22,1008,,
67,22,1124,,
67,22,1124,,
119,22,1128,,
119,22,1128,,
1,22,1160,,
1,22,1160,,
99,22,1276,,
99,22,1276,,
87,22,1288,,
87,22,1288,,
39,22,1500,,
39,22,1500,,
101,22,1652,,
101,22,1652,,
105,22,1912,,
105,22,1912,,
117,22,2096,,
117,22,2096,,
5,22,2156,,
5,22,2156,,
15,22,2180,,
15,22,2180,,
97,22,2204,,
97,22,2204,,
45,22,2408,,
45,22,2408,,
73,22,2852,,
73,22,2852,,
103,22,2948,,
103,22,2948,,
57,22,2968,,
57,22,2968,,
109,22,3712,,
109,22,3712,,
55,22,4524,,
55,22,4524,,
63,22,4612,,
63,22,4612,,
19,22,4756,,
19,22,4756,,
79,22,4916,,
79,22,4916,,
17,22,6556,,
17,22,6556,,
33,22,6716,,
33,22,6716,,
51,22,8020,,
51,22,8020,,
71,22,9504,,
71,22,9504,,
 ,23,25,,
999,23,192,,
21,23,419,,
15,23,601,,
23,23,620,,
27,23,719,,
29,23,797,,
9,23,807,,
13,23,813,,
7,23,953,,
25,23,1218,,
17,23,1399,,
3,23,2398,,
11,23,2677,,
19,23,3492,,
5,23,3706,,
31,23,3789,,
1,23,4256,,
 ,25,,,
0,25,36,,
29,25,119,,
47,25,199,,
41,25,228,,
39,25,239,,
35,25,246,,
23,25,290,,
27,25,311,,
17,25,342,,
37,25,357,,
11,25,381,,
9,25,383,,
13,25,396,,
19,25,434,,
31,25,634,,
1,25,639,,
45,25,643,,
21,25,786,,
25,25,822,,
15,25,866,,
43,25,1103,,
33,25,1470,,
3,25,1959,,
5,25,3290,,
510,25,6502,,
999,26,,,
19,26,14,,
 ,26,69,,
7,26,73,,
0,26,229,,
11,26,781,,
15,26,793,,
1,26,1580,,
3,26,1678,,
21,26,2225,,
23,26,2754,,
13,26,4328,,
9,26,4805,,
25,26,4921,,
17,26,5794,,
27,26,6489,,
5,26,6892,,
 ,28,,,
155,28,29,,
999,28,29,,
69,28,34,,
125,28,38,,
31,28,41,,
81,28,43,,
133,28,46,,
77,28,48,,
101,28,51,,
11,28,57,,
107,28,57,,
73,28,60,,
149,28,62,,
117,28,67,,
167,28,68,,
89,28,70,,
63,28,73,,
165,28,76,,
135,28,80,,
33,28,85,,
75,28,86,,
51,28,87,,
105,28,90,,
173,28,94,,
143,28,117,,
71,28,121,,
23,28,131,,
29,28,135,,
55,28,140,,
129,28,157,,
121,28,158,,
43,28,161,,
39,28,165,,
159,28,166,,
87,28,168,,
151,28,169,,
45,28,172,,
157,28,175,,
161,28,185,,
103,28,192,,
113,28,193,,
127,28,194,,
79,28,214,,
153,28,239,,
57,28,253,,
93,28,264,,
91,28,278,,
83,28,289,,
19,28,290,,
97,28,312,,
65,28,316,,
85,28,331,,
1,28,335,,
99,28,339,,
119,28,345,,
47,28,346,,
131,28,350,,
49,28,361,,
15,28,366,,
169,28,389,,
17,28,402,,
25,28,423,,
147,28,435,,
13,28,469,,
115,28,477,,
95,28,482,,
67,28,507,,
9,28,530,,
21,28,564,,
27,28,580,,
5,28,582,,
41,28,591,,
141,28,653,,
61,28,676,,
111,28,720,,
139,28,800,,
59,28,803,,
7,28,844,,
163,28,966,,
109,28,1052,,
171,28,1158,,
35,28,1189,,
145,28,1373,,
37,28,2264,,
137,28,3254,,
3,28,3261,,
123,28,5881,,
53,28,12520,,
55,29,,,
143,29,,,
0,29,12,,
103,29,20,,
125,29,21,,
37,29,23,,
157,29,26,,
21,29,26,,
155,29,26,,
25,29,32,,
53,29,32,,
135,29,34,,
97,29,34,,
129,29,35,,
41,29,38,,
19,29,39,,
119,29,40,,
61,29,42,,
71,29,43,,
63,29,44,,
9,29,46,,
13,29,46,,
15,29,47,,
147,29,50,,
69,29,51,,
23,29,52,,
5,29,52,,
87,29,53,,
133,29,54,,
111,29,57,,
161,29,61,,
145,29,67,,
79,29,67,,
65,29,68,,
31,29,68,,
153,29,70,,
17,29,71,,
105,29,72,,
77,29,72,,
131,29,74,,
27,29,75,,
43,29,77,,
107,29,80,,
159,29,82,,
51,29,83,,
29,29,83,,
137,29,87,,
11,29,88,,
101,29,92,,
127,29,95,,
123,29,97,,
95,29,104,,
1,29,105,,
 ,29,107,,
117,29,107,,
139,29,108,,
7,29,113,,
151,29,125,,
33,29,125,,
57,29,127,,
113,29,138,,
39,29,139,,
163,29,139,,
85,29,141,,
45,29,150,,
93,29,151,,
89,29,153,,
91,29,162,,
67,29,189,,
73,29,199,,
99,29,201,,
115,29,206,,
141,29,231,,
149,29,265,,
3,29,282,,
81,29,315,,
109,29,381,,
121,29,382,,
83,29,416,,
35,29,426,,
75,29,569,,
59,29,720,,
49,29,732,,
47,29,1328,,
 ,30,,,
227,30,,,
129,30,12,,
87,30,13,,
5,30,15,,
999,30,15,,
75,30,16,,
103,30,19,,
81,30,25,,
197,30,25,,
171,30,27,,
33,30,33,,
211,30,37,,
205,30,38,,
25,30,40,,
45,30,41,,
63,30,43,,
137,30,48,,
3,30,49,,
151,30,49,,
147,30,49,,
61,30,49,,
89,30,53,,
173,30,54,,
41,30,55,,
79,30,55,,
199,30,56,,
35,30,58,,
111,30,60,,
57,30,61,,
121,30,64,,
53,30,66,,
49,30,71,,
125,30,76,,
135,30,76,,
153,30,76,,
179,30,87,,
85,30,87,,
1,30,88,,
115,30,88,,
157,30,89,,
73,30,92,,
186,30,97,,
139,30,116,,
67,30,116,,
17,30,118,,
155,30,127,,
185,30,128,,
133,30,129,,
203,30,132,,
195,30,136,,
177,30,139,,
223,30,141,,
123,30,145,,
181,30,145,,
7,30,149,,
93,30,160,,
119,30,160,,
65,30,169,,
11,30,171,,
143,30,172,,
107,30,176,,
59,30,178,,
101,30,181,,
225,30,186,,
13,30,192,,
229,30,200,,
149,30,201,,
39,30,203,,
117,30,206,,
163,30,218,,
219,30,223,,
15,30,225,,
207,30,233,,
209,30,244,,
83,30,249,,
27,30,261,,
105,30,266,,
43,30,281,,
215,30,282,,
69,30,285,,
217,30,293,,
141,30,302,,
165,30,303,,
169,30,307,,
175,30,318,,
55,30,324,,
127,30,357,,
37,30,358,,
167,30,365,,
131,30,370,,
201,30,378,,
9,30,392,,
213,30,404,,
23,30,421,,
109,30,441,,
159,30,450,,
145,30,455,,
51,30,487,,
31,30,489,,
29,30,541,,
161,30,548,,
113,30,564,,
221,30,605,,
183,30,606,,
71,30,728,,
19,30,728,,
91,30,803,,
21,30,856,,
47,30,997,,
99,30,1111,,
187,30,1322,,
97,30,1374,,
77,30,1700,,
189,30,2434,,
510,30,3289,,
95,30,5345,,
57,31,,,
11,31,,,
107,31,,,
79,31,,,
999,31,,,
45,31,,,
51,31,,,
39,31,,,
19,31,,,
33,31,,,
37,31,,,
0,31,,,
59,31,,,
55,31,,,
25,31,,,
97,31,,,
15,31,,,
91,31,,,
99,31,,,
71,31,,,
7,31,16,,
61,31,16,,
 ,31,16,,
95,31,17,,
65,31,17,,
77,31,17,,
105,31,19,,
21,31,19,,
101,31,20,,
9,31,21,,
27,31,22,,
73,31,22,,
83,31,23,,
1,31,24,,
5,31,26,,
87,31,28,,
43,31,37,,
85,31,37,,
89,31,50,,
3,31,56,,
17,31,62,,
23,31,62,,
67,31,68,,
41,31,69,,
35,31,77,,
81,31,122,,
53,31,162,,
47,31,190,,
31,31,191,,
13,31,288,,
49,31,289,,
93,31,303,,
63,31,504,,
29,31,572,,
111,31,741,,
71,32,,,
115,32,,,
9,32,,,
171,32,,,
73,32,,,
103,32,,,
91,32,,,
7,32,,,
149,32,,,
31,32,,,
15,32,,,
163,32,,,
63,32,,,
51,32,,,
27,32,,,
113,32,,,
29,32,,,
85,32,,,
167,32,,,
 ,32,,,
77,32,,,
175,32,,,
69,32,,,
49,32,,,
17,32,,,
57,32,,,
161,32,,,
11,32,,,
143,32,,,
23,32,,,
83,32,,,
39,32,,,
61,32,,,
137,32,,,
65,32,11,,
45,32,11,,
97,32,11,,
37,32,11,,
133,32,12,,
87,32,12,,
35,32,12,,
123,32,13,,
21,32,13,,
107,32,13,,
179,32,13,,
99,32,13,,
81,32,14,,
125,32,14,,
139,32,14,,
169,32,14,,
59,32,15,,
127,32,15,,
181,32,16,,
33,32,16,,
129,32,17,,
93,32,18,,
173,32,19,,
41,32,19,,
3,32,21,,
105,32,22,,
89,32,24,,
43,32,26,,
177,32,27,,
121,32,28,,
95,32,29,,
159,32,29,,
141,32,31,,
147,32,32,,
47,32,32,,
145,32,32,,
151,32,34,,
101,32,35,,
131,32,39,,
119,32,57,,
185,32,60,,
13,32,66,,
155,32,66,,
25,32,76,,
1,32,97,,
53,32,112,,
19,32,112,,
0,32,117,,
157,32,144,,
67,32,167,,
111,32,172,,
